state.lastseen,missing.date,tattoo,scar,color.eyes,color.hair,weight.from,weight.to,height.from,height.to,gender,race,age.from,age.to,id
Texas,1974-12-23,FALSE,TRUE,green,brown,48.978,48.978,167.64000000000001,167.64000000000001,female,white,17,17,306D
California,1995-03-26,FALSE,FALSE,brown,black,68.025,68.025,167.64000000000001,167.64000000000001,female,black,25,25,307D
Texas,2000-09-14,TRUE,TRUE,brown,brown,56.234,56.234,167.64000000000001,167.64000000000001,male,hispanic,23,23,308D
California,1981-10-09,FALSE,FALSE,blue,brown,65.75750000000001,65.75750000000001,172.72,172.72,male,white,45,45,309D
California,1980-05-21,FALSE,TRUE,brown,blonde,36.28,40.815,124.46000000000001,152.4,female,white,12,12,310D
Maryland,1996-03-08,FALSE,FALSE,brown,black,72.56,77.095,182.88,182.88,male,black,31,31,311D
Minnesota,2008-05-14,FALSE,FALSE,blue,brown,54.42,54.42,167.64000000000001,167.64000000000001,male,white,19,19,312D
Florida,1989-08-22,FALSE,TRUE,brown,brown,86.165,86.165,182.88,187.96,male,white,37,37,313D
New Jersey,1994-05-12,FALSE,TRUE,blue,brown,90.7,90.7,175.26,175.26,male,white,43,43,314D
Arkansas,1995-09-02,TRUE,TRUE,brown,"blonde,brown",47.6175,49.885000000000005,157.48000000000002,162.56,female,white,24,24,315D
California,1991-01-24,TRUE,FALSE,brown,brown,49.885000000000005,49.885000000000005,157.48000000000002,157.48000000000002,female,white,31,31,316D
Missouri,1989-06-29,FALSE,TRUE,brown,brown,47.164,47.164,162.56,162.56,female,white,44,44,317D
Canada,1974-05-05,FALSE,FALSE,brown,brown,25.8495,25.8495,45.72,167.64000000000001,male,white,21,21,318D
Missouri,1979-05-28,FALSE,FALSE,brown,brown,72.56,72.56,172.72,172.72,male,white,19,19,319D
Idaho,1980-11-07,FALSE,FALSE,blue,brown,63.49,72.56,172.72,172.72,male,white,20,20,320D
